horas_pantalla_diaria,frecuencia_doomscrolling,revisiones_notificaciones_dia,exposicion_recomendaciones_ia,intentos_desintoxicacion,grupo_edad_enc,genero_enc,plataforma_enc,pais_enc,perdida_productividad_pct
1.82,6.12,230,49.19,13,2,0,0,3,36.77
4.14,3.59,77,52.72,6,1,1,4,3,9.98
10.57,2.08,18,37.87,4,2,1,0,1,32.07
10.6,9.63,342,0.97,6,2,2,0,0,13.06
5.15,3.87,159,36.93,3,1,2,3,3,43.35
12.61,0.88,14,4.77,4,0,1,2,1,20.02
1.05,8.13,199,64.8,13,4,0,2,3,41.34
2.66,0.63,263,2.28,5,3,1,0,3,56.87
8.52,6.59,164,96.91,10,3,0,4,4,2.67
0.87,2.8,156,90.61,11,4,2,4,2,62.97
12.15,0.54,323,29.52,12,1,2,3,0,25.95
7.19,2.63,90,92.25,1,0,0,4,0,63.3
5.85,0.49,88,84.04,3,1,0,2,3,4.28
1.48,0.84,348,3.7,13,3,2,1,3,8.12
13.24,6.03,42,86.06,0,3,0,1,0,38.06
7.38,3.64,100,20.23,6,3,1,1,0,27.72
0.51,2.95,220,32.04,6,2,2,2,2,56.53
7.18,0.1,107,95.79,2,0,1,1,4,8.59
8.71,0.23,326,58.43,1,3,2,2,1,17.76
10.27,5.0,275,60.18,6,2,0,2,1,8.77
0.56,5.97,53,30.08,2,3,0,1,4,61.09
9.67,8.68,267,39.34,13,4,2,2,4,66.27
7.62,3.94,189,0.03,6,1,0,3,3,14.4
8.57,2.86,227,59.64,10,0,2,3,1,11.61
4.57,5.51,152,63.24,12,0,1,0,3,12.76
5.8,8.58,66,32.31,0,4,1,4,1,36.13
6.2,5.99,221,96.88,7,3,2,3,0,14.27
5.83,3.57,325,60.19,5,4,2,2,3,27.31
6.04,6.44,13,43.26,13,3,0,2,4,28.64
9.05,4.36,33,60.52,14,3,0,2,2,19.94
1.84,6.85,349,12.69,8,0,2,2,1,39.03
7.17,2.42,276,24.36,14,0,1,4,2,48.04
2.09,1.95,104,87.98,14,4,1,1,0,25.54
13.16,6.9,63,44.73,5,0,2,3,2,52.41
11.57,9.06,313,38.57,5,4,1,1,0,6.09
12.68,8.38,20,45.46,13,1,1,3,1,57.29
8.15,9.47,263,58.74,11,1,1,2,0,58.12
4.33,3.77,330,72.82,12,4,1,2,1,31.48
3.31,1.19,216,20.41,12,1,0,1,3,26.04
2.79,1.83,288,63.0,10,2,1,1,0,14.37
1.77,3.88,114,99.37,0,4,1,4,4,46.09
8.99,2.61,199,79.88,4,2,0,2,2,23.37
2.08,8.55,169,15.09,1,0,0,1,0,58.61
9.27,2.8,251,60.03,9,4,2,1,1,33.14
12.31,9.84,300,49.4,8,4,0,2,0,54.25
12.16,2.41,122,18.59,1,4,0,1,2,36.43
10.41,1.28,142,90.95,2,4,2,0,0,57.27
7.4,5.96,137,94.51,9,4,2,1,1,69.36
10.75,1.88,331,87.52,4,2,2,2,4,63.22
10.18,2.96,154,68.02,6,0,2,1,2,56.81
9.17,7.83,161,71.65,9,4,2,0,4,62.15
12.82,4.04,269,44.25,5,3,0,0,3,21.66
1.07,0.76,42,28.02,9,4,2,4,1,19.03
2.38,9.22,28,57.91,12,3,2,2,0,54.98
4.32,1.09,78,47.76,13,2,1,3,1,43.5
11.78,6.79,202,7.93,12,3,1,1,0,61.42
12.25,6.59,298,46.35,6,0,1,2,1,41.25
9.34,1.68,210,61.37,6,3,1,1,0,32.72
8.46,3.92,149,18.48,0,2,1,0,3,43.01
8.58,3.05,174,54.97,1,0,0,1,2,67.61
8.29,3.53,313,45.21,13,1,0,3,1,37.55
5.55,1.78,9,70.16,7,3,0,4,0,51.22
6.84,3.39,191,88.32,1,1,1,4,0,25.58
3.49,9.64,162,26.62,4,3,0,1,0,14.29
11.01,7.49,242,40.42,7,2,0,1,2,5.86
7.21,1.75,340,5.45,2,1,0,4,1,9.62
10.52,4.44,139,61.01,13,4,0,0,1,16.68
8.95,0.53,320,92.41,1,2,0,0,3,67.6
10.96,3.5,275,15.1,3,3,0,1,0,15.64
8.04,8.87,321,77.83,3,2,1,3,2,62.05
7.65,4.24,85,94.61,12,4,1,3,3,27.71
0.93,3.57,143,24.43,2,0,2,2,1,7.93
3.17,2.3,94,38.16,5,1,0,1,0,9.76
9.6,4.51,165,9.95,1,0,0,1,4,5.11
4.37,7.58,30,57.91,2,3,1,1,0,69.49
6.57,5.99,18,67.09,9,3,2,4,3,33.37
9.41,2.13,302,64.56,3,1,0,1,0,57.14
3.31,5.67,132,91.91,14,2,0,2,1,36.97
6.9,4.44,339,60.62,1,3,1,4,0,32.93
4.15,9.91,100,22.83,12,3,1,2,3,61.96
8.85,9.67,289,41.81,4,4,2,0,4,2.88
7.9,5.16,320,74.83,12,2,0,1,0,32.93
12.95,7.6,193,58.42,2,2,2,3,3,50.11
1.58,4.54,111,98.26,5,1,0,2,3,7.15
10.16,2.0,204,81.7,9,1,0,3,1,25.11
4.52,7.23,91,82.18,1,3,1,0,1,6.2
4.02,5.06,148,40.8,0,3,0,4,0,63.31
2.04,9.33,101,44.23,12,2,0,2,2,1.35
5.9,3.83,77,15.1,12,1,2,4,2,5.71
8.19,6.48,44,18.58,10,3,2,2,0,69.6
11.87,2.14,154,22.34,9,0,1,2,1,2.7
13.41,3.37,131,82.61,3,2,1,2,3,39.74
10.24,7.73,271,9.85,0,0,0,2,1,48.06
0.9,4.06,267,30.44,13,1,2,4,0,23.96
9.91,5.22,233,16.66,4,1,0,0,2,30.84
3.38,5.84,213,43.54,6,3,0,1,4,68.85
3.31,3.03,314,52.93,5,1,1,0,2,55.78
12.54,9.4,329,53.71,10,2,2,2,3,59.19
5.15,2.77,158,32.11,8,0,0,2,3,14.08
11.78,8.52,348,21.68,11,0,1,0,1,12.61
6.32,4.32,303,59.71,3,2,2,4,3,9.2
5.19,2.23,169,21.79,5,2,2,4,0,38.46
2.94,7.14,116,9.44,10,3,0,4,0,29.31
1.77,5.17,85,8.33,13,0,0,4,4,48.88
2.89,2.41,335,57.68,8,2,0,3,0,37.63
9.98,8.26,8,91.75,9,4,2,4,4,1.49
4.93,6.56,198,11.33,10,3,0,4,0,48.01
10.93,0.06,233,46.64,11,1,2,3,1,35.36
5.98,4.34,73,98.49,13,2,1,3,4,8.89
1.98,1.91,153,34.55,9,1,0,4,2,44.19
7.75,1.12,226,61.85,1,1,0,1,1,57.86
9.46,0.97,339,43.32,1,2,1,3,2,46.83
10.62,4.87,294,98.18,4,1,2,1,0,21.08
4.3,1.55,222,83.83,0,0,2,4,1,65.69
4.15,7.2,33,56.74,4,2,2,1,1,44.81
5.14,3.81,111,47.67,0,1,0,0,3,60.57
4.39,5.54,334,66.23,2,3,2,3,2,16.57
9.88,2.56,112,5.08,13,0,2,4,0,41.52
4.42,6.48,29,57.49,13,1,2,3,0,42.97
13.1,2.38,113,23.93,3,3,2,1,3,52.56
7.96,0.27,32,63.46,2,1,2,2,3,69.71
12.79,4.3,52,56.79,0,0,2,2,0,55.49
11.75,7.97,132,42.8,3,1,2,4,3,59.28
7.15,9.9,269,16.48,4,0,1,4,2,55.04
6.83,0.75,225,23.62,6,1,0,3,4,16.34
8.01,2.95,201,68.1,12,2,0,4,2,62.66
0.72,3.7,124,79.67,1,0,1,3,4,30.74
4.05,8.78,345,36.6,11,4,1,1,1,18.34
13.16,9.5,247,71.66,8,2,1,3,0,64.35
3.39,1.76,221,1.47,11,3,0,2,0,7.09
12.39,9.18,138,76.62,8,2,2,2,4,3.73
8.51,5.78,117,53.61,4,3,0,0,0,19.24
2.9,4.25,101,44.68,9,3,1,3,1,29.64
1.3,4.39,184,69.4,10,1,0,4,3,37.86
11.92,8.45,110,13.91,10,2,1,4,2,13.27
11.92,2.03,330,48.82,14,3,1,4,4,38.98
4.6,6.76,12,87.2,8,4,2,3,1,29.76
13.1,3.22,174,91.93,13,1,2,1,2,11.37
5.4,2.43,242,57.08,1,2,1,3,0,54.72
13.34,7.57,155,19.26,7,3,0,0,0,46.01
1.59,3.79,286,57.98,8,0,2,2,0,66.43
11.86,5.29,269,78.53,3,0,2,2,3,60.49
8.5,8.56,239,46.03,11,2,0,0,2,9.55
3.06,9.75,219,49.53,6,4,2,4,3,22.29
9.85,6.95,146,11.37,5,2,1,0,3,35.02
2.1,8.56,85,66.43,1,1,2,1,4,68.64
7.67,0.88,86,87.35,3,3,1,1,4,14.1
6.81,0.93,311,98.9,1,2,1,1,2,49.47
3.82,2.41,25,99.65,1,3,2,4,1,4.52
8.81,3.03,120,88.37,4,0,2,2,2,10.98
4.49,6.05,171,55.72,5,3,0,2,1,35.55
13.2,7.53,103,59.25,4,4,1,0,0,26.03
7.19,0.29,16,24.59,9,4,1,1,1,16.11
1.73,9.69,15,80.61,12,0,0,0,1,16.21
13.04,2.25,43,18.52,5,1,2,1,4,68.54
7.29,0.05,21,95.18,1,0,0,4,4,61.94
2.74,7.56,36,94.39,12,4,1,2,0,10.54
7.62,4.11,228,7.33,11,1,0,1,4,9.98
10.67,6.63,310,7.58,6,1,0,4,4,4.89
3.32,9.26,340,75.01,5,3,2,3,3,61.66
3.87,9.08,15,14.84,5,0,2,1,1,40.89
6.59,9.01,276,39.01,0,0,2,1,0,9.74
7.81,5.36,178,8.58,6,1,1,0,2,61.52
7.79,0.04,320,16.19,7,3,0,3,0,58.86
0.99,7.4,7,81.6,11,3,2,2,0,64.13
0.66,3.65,150,89.87,4,1,2,1,1,16.37
7.43,6.93,322,76.86,10,0,0,1,0,19.31
1.46,2.48,27,41.91,9,3,1,4,3,35.44
2.89,2.11,323,87.85,1,1,1,3,1,6.88
5.46,3.36,166,48.99,8,3,2,1,0,28.2
4.63,1.78,162,20.46,12,2,2,4,2,33.35
1.21,0.16,263,59.41,10,2,0,3,2,22.43
9.93,5.87,142,62.61,12,2,1,0,3,64.87
5.57,4.27,94,52.09,7,2,0,2,4,41.52
3.61,0.0,95,61.48,0,3,1,3,1,54.06
2.94,1.92,67,90.41,13,0,0,3,4,33.63
9.64,6.59,256,47.01,8,4,2,2,4,5.55
3.83,0.98,153,84.94,14,2,1,0,4,45.26
9.25,7.79,154,40.82,11,0,1,2,2,12.85
0.54,0.82,310,78.76,11,2,2,0,2,64.86
9.9,9.02,91,20.84,14,3,2,2,3,28.59
5.41,9.72,59,12.59,4,3,1,1,0,34.94
3.77,1.34,154,26.61,5,4,2,4,2,6.07
4.35,3.02,126,39.89,13,3,1,1,0,36.62
10.11,1.34,91,90.85,3,3,0,1,4,45.6
13.02,0.11,102,24.34,4,3,0,0,0,61.19
7.19,6.52,307,27.28,8,2,2,1,4,43.58
1.67,6.2,149,1.09,11,4,2,2,4,9.25
8.77,0.49,299,31.75,9,0,0,2,1,57.57
7.89,4.09,154,2.86,7,3,1,2,3,53.64
7.81,8.3,273,88.49,1,0,1,0,3,6.75
4.16,6.87,17,73.91,13,4,2,4,0,24.04
12.07,6.64,113,69.92,5,4,2,3,0,26.34
1.84,7.48,30,32.74,3,3,1,4,4,17.62
13.32,7.43,193,48.03,12,1,2,3,0,45.31
10.23,7.2,138,55.55,3,2,2,0,0,26.99
9.71,2.45,180,2.27,4,2,0,2,4,28.06
5.44,8.01,253,83.73,11,4,1,0,2,62.09
6.94,7.61,121,64.78,14,3,0,4,1,33.63
8.11,5.44,276,31.88,8,3,0,3,3,30.0
7.12,5.94,257,1.02,5,1,0,1,3,36.77
8.42,5.47,114,39.54,1,0,1,3,1,67.0
12.56,6.17,94,35.14,9,3,1,0,4,28.72
11.63,1.14,168,65.31,0,3,2,2,1,4.31
10.01,0.17,41,30.37,3,3,2,1,4,65.94
12.47,5.12,13,11.71,0,1,1,4,0,52.53
10.46,8.25,103,55.12,12,3,0,4,1,43.5
11.19,6.84,58,27.82,0,0,2,3,3,46.47
1.63,9.88,276,90.26,8,4,0,0,1,39.76
11.47,2.37,348,26.13,2,3,1,4,0,58.23
3.08,7.42,254,35.83,11,0,1,4,2,51.38
9.06,2.19,251,34.45,4,1,2,4,1,43.16
6.2,2.9,234,14.28,6,3,0,1,4,59.36
9.62,2.81,125,25.21,7,2,1,2,4,59.51
8.21,5.65,12,57.79,14,4,2,0,4,57.82
10.08,5.42,217,45.47,4,4,1,2,1,18.02
8.75,5.76,108,15.82,2,2,2,2,3,38.18
5.89,7.41,80,50.01,7,0,2,0,2,65.03
12.83,0.76,57,78.78,4,4,2,3,2,26.2
10.23,6.06,16,52.19,3,2,2,1,2,13.46
5.77,7.04,202,48.61,4,2,2,3,1,58.98
4.61,9.71,104,22.28,3,3,2,1,1,52.91
11.1,9.38,48,5.81,14,2,2,4,1,49.89
7.25,5.5,37,37.8,13,4,1,2,2,59.57
12.58,0.3,174,98.97,6,4,0,2,1,24.54
0.94,7.09,322,31.14,2,3,1,3,3,28.48
6.47,4.23,276,67.85,7,1,1,2,1,43.05
4.34,0.44,264,28.38,0,4,0,3,1,11.15
3.91,5.82,17,55.87,0,3,2,2,3,47.19
5.75,4.38,66,97.88,0,3,2,3,1,66.28
9.42,0.15,206,95.5,0,4,1,3,2,21.7
10.55,3.66,125,55.2,13,1,0,4,2,13.86
1.38,7.94,164,8.86,12,4,2,4,3,48.33
3.58,6.41,51,41.22,8,0,2,3,0,32.44
7.19,8.21,209,66.15,13,4,1,2,2,2.26
3.31,6.33,290,1.27,12,3,1,3,2,45.99
11.81,3.55,25,21.9,10,2,1,0,0,12.82
10.03,5.14,188,81.06,13,3,1,0,3,34.18
2.07,9.65,154,54.78,14,1,0,2,1,45.04
11.72,8.86,130,44.61,11,4,1,2,0,45.5
6.69,6.78,225,94.51,3,4,2,3,0,17.4
3.07,5.88,14,81.18,5,2,1,2,0,29.63
4.0,9.03,95,32.46,1,2,0,2,4,62.54
11.06,2.01,254,7.1,9,3,0,4,4,27.19
5.41,6.68,300,49.6,13,4,2,2,1,16.28
5.36,5.18,346,58.75,5,0,0,0,1,0.08
9.63,8.67,336,43.61,4,4,0,3,4,20.71
12.99,9.46,135,48.6,5,0,1,0,1,3.06
5.82,9.11,249,65.37,14,2,2,2,2,65.66
6.18,8.44,236,45.79,8,4,2,4,2,12.44
5.66,3.03,348,71.24,12,4,0,4,1,31.04
12.39,3.44,288,44.9,4,1,1,1,4,57.07
11.74,9.43,294,86.04,11,3,1,4,0,16.15
6.4,7.57,226,28.58,10,0,0,4,3,49.11
13.21,3.77,167,44.0,4,4,2,3,1,0.4
1.7,7.27,75,9.29,12,1,1,1,1,16.12
3.66,0.76,291,69.33,12,3,1,1,1,1.71
11.78,8.85,153,95.13,5,2,2,2,0,37.95
10.72,2.37,225,77.36,0,2,0,1,3,51.47
13.15,0.87,34,1.11,7,2,2,1,1,36.22
6.06,1.05,281,69.91,11,1,2,0,2,52.65
10.49,1.88,202,77.59,5,4,1,1,4,62.48
1.5,6.96,84,42.82,6,0,1,0,2,55.11
4.29,1.33,188,5.26,0,3,1,3,3,38.1
9.02,2.71,61,16.14,12,3,0,1,0,33.94
9.51,1.87,192,67.83,13,3,0,3,1,4.01
0.51,7.42,270,69.72,1,2,2,4,0,3.37
1.79,6.09,246,43.2,1,1,0,0,4,3.49
7.87,1.54,279,46.77,4,0,1,4,4,27.82
9.07,2.97,345,5.71,10,1,1,3,2,29.67
7.59,2.27,79,80.99,12,0,2,2,0,48.16
5.2,3.43,279,8.76,1,2,0,4,1,41.43
8.07,9.94,278,28.49,0,3,0,3,0,61.3
11.75,6.54,89,9.66,8,3,0,4,1,31.51
2.85,3.29,217,42.56,3,3,2,4,2,12.48
7.01,1.42,167,58.48,3,4,2,2,1,54.7
1.46,0.96,92,48.94,6,3,0,1,3,45.22
3.29,0.69,91,7.46,10,4,2,3,2,43.73
2.9,3.42,205,14.8,5,2,0,1,3,20.77
4.69,7.94,124,42.97,5,4,2,3,0,32.29
8.63,3.54,239,16.56,9,1,1,0,1,40.25
10.13,8.77,311,52.25,2,2,1,2,4,5.11
12.63,1.25,177,4.56,6,2,2,2,2,41.66
10.67,7.96,278,22.0,6,2,1,4,4,29.13
12.82,7.5,85,34.2,13,0,0,0,4,54.08
0.68,4.48,267,45.31,6,0,1,3,0,45.52
1.84,0.04,304,4.62,0,0,2,3,0,38.31
5.16,7.67,202,73.67,13,4,1,4,3,67.77
10.11,7.61,157,9.5,1,3,2,4,4,1.8
0.55,7.52,144,62.1,8,3,1,2,4,57.17
10.19,1.74,49,46.25,10,3,1,0,0,38.38
6.58,6.28,191,64.85,14,2,0,1,1,37.3
13.24,4.95,110,23.99,0,1,0,0,2,46.71
3.86,8.8,68,37.06,13,2,2,0,3,44.73
1.01,5.13,195,11.07,4,0,1,3,0,28.53
2.58,7.17,93,84.52,7,0,0,3,2,65.45
11.94,3.04,272,0.29,10,4,0,1,2,50.25
7.07,6.88,280,22.89,4,1,2,1,2,21.64
3.09,3.09,61,50.45,12,1,2,2,1,24.14
11.2,2.02,309,44.85,2,4,1,2,2,17.91
12.25,6.02,295,65.36,7,0,2,1,2,41.77
12.65,8.2,179,49.73,1,1,2,4,2,37.84
12.27,7.33,129,6.08,5,3,0,4,0,26.99
5.56,4.07,201,61.04,5,1,0,1,3,19.95
10.81,3.04,310,74.4,14,4,1,3,3,14.07
11.65,5.07,41,73.6,10,1,2,3,0,34.47
7.37,9.99,5,46.57,12,4,0,4,2,20.11
3.77,4.7,300,28.86,8,3,1,4,4,1.57
0.74,4.96,28,98.46,11,1,1,4,4,27.59
7.85,3.55,26,1.94,9,1,0,4,1,27.47
11.22,6.22,349,59.82,14,2,2,0,1,1.13
2.94,3.52,305,81.62,1,3,1,1,4,53.58
11.3,7.82,157,96.89,13,2,1,0,1,27.56
10.79,7.49,107,36.11,9,4,1,4,2,55.74
1.77,6.84,280,90.73,14,3,1,3,4,14.67
4.83,8.54,131,12.05,8,4,2,1,0,3.99
12.28,8.81,236,41.11,14,1,1,4,0,45.72
2.02,0.52,17,5.37,6,0,0,2,2,34.36
4.78,6.84,178,59.83,9,2,2,2,4,33.59
5.29,6.37,239,83.6,1,0,1,3,2,15.27
2.16,8.99,28,29.15,12,3,1,1,0,39.14
11.48,6.7,246,79.16,6,2,2,1,0,36.06
0.68,6.59,241,74.48,2,2,0,4,4,9.68
7.38,8.29,133,85.35,12,1,0,4,1,45.74
0.82,8.37,287,87.82,7,0,0,3,1,68.7
13.4,8.91,47,45.29,3,1,1,4,2,14.19
12.72,6.56,19,40.38,5,0,1,4,1,61.25
10.82,8.74,253,59.21,8,4,2,4,3,51.93
9.97,3.7,92,20.52,10,2,0,3,1,46.83
1.09,8.85,88,59.96,9,0,2,3,2,23.36
8.87,4.19,187,23.43,9,3,1,0,0,10.67
3.49,2.41,92,6.18,10,0,2,0,2,25.48
0.93,2.36,65,90.19,8,1,1,4,0,49.64
3.8,6.45,137,79.21,4,0,0,4,0,13.36
12.59,0.14,320,3.43,7,4,1,1,3,19.44
3.85,3.35,217,85.78,14,2,2,4,0,65.96
1.08,8.33,314,11.45,12,0,0,1,0,37.06
9.76,6.45,39,2.97,14,0,0,0,0,7.68
8.43,6.76,311,42.35,2,3,2,0,4,45.05
5.71,0.87,175,68.83,7,3,2,1,3,2.0
3.16,4.37,298,18.21,14,4,0,2,2,55.91
4.31,9.07,23,95.84,12,2,1,4,4,31.32
11.33,9.19,70,50.78,0,3,2,1,2,48.22
8.14,4.83,176,81.61,9,2,2,3,3,37.46
8.57,0.24,234,60.56,7,0,1,1,1,42.14
4.07,0.14,77,37.52,1,4,0,0,2,32.78
11.26,3.05,289,6.44,10,4,2,0,4,30.86
7.54,4.12,331,36.08,5,3,0,1,2,59.21
11.87,9.65,144,71.77,7,0,2,1,3,18.77
9.08,4.75,289,5.1,8,3,0,1,4,5.72
12.97,4.36,224,20.4,6,3,1,1,0,53.59
1.86,5.99,322,23.93,10,3,1,4,4,29.96
9.99,2.88,187,63.04,11,4,0,0,3,27.47
8.25,4.7,147,82.47,6,2,0,4,2,14.99
3.41,3.48,211,9.14,7,2,1,1,1,33.29
2.02,7.93,204,19.03,12,4,1,3,1,20.26
7.4,4.85,341,74.52,12,4,1,1,1,5.46
3.74,5.14,20,86.08,0,0,2,3,1,17.39
6.6,2.14,165,28.28,4,1,1,1,0,12.92
8.85,0.99,260,92.91,10,2,0,2,2,57.13
11.38,6.77,346,70.22,8,4,1,2,2,60.9
2.76,4.37,28,30.31,11,0,2,0,0,49.68
12.15,9.1,227,1.42,11,4,2,3,4,13.46
4.83,9.1,280,78.62,13,0,1,0,4,57.65
1.6,5.05,303,47.99,0,4,2,0,1,33.98
9.87,9.64,258,54.44,12,3,2,3,1,37.73
12.62,2.53,225,25.99,10,0,2,2,3,41.23
0.55,6.46,259,1.57,13,3,2,3,2,51.14
7.28,0.5,156,45.57,4,3,0,4,1,55.4
10.0,4.53,39,6.69,6,1,0,4,0,54.75
1.36,3.22,22,94.83,8,1,0,3,1,21.07
9.3,3.4,226,52.13,12,1,1,0,4,35.06
2.12,2.91,149,3.3,3,4,2,0,4,1.92
7.79,4.95,178,47.82,6,2,0,2,2,30.93
9.03,8.54,203,50.63,3,0,2,3,1,24.78
10.19,7.83,109,80.2,3,0,0,3,3,9.56
12.69,1.89,120,9.02,5,2,2,1,3,56.79
8.24,1.13,248,19.43,2,4,2,0,4,25.43
10.93,4.02,222,78.26,10,3,1,3,0,37.05
3.98,8.39,117,7.4,7,4,1,4,0,19.75
8.75,2.56,110,60.1,5,0,2,4,4,55.28
3.61,1.65,292,33.05,0,3,0,4,1,25.17
9.75,3.9,205,65.82,10,2,1,3,3,45.52
5.48,0.67,275,85.56,10,4,0,0,2,64.43
1.77,5.67,136,82.5,1,1,2,0,0,20.73
6.47,2.98,341,95.47,0,4,0,1,0,40.73
4.71,2.14,121,70.08,5,4,2,4,3,9.55
0.68,4.37,53,32.46,13,2,1,0,3,51.61
3.78,2.67,62,66.58,9,2,1,0,1,37.72
11.09,8.28,88,74.94,6,3,0,3,2,32.53
11.23,6.68,223,19.13,3,1,2,1,1,61.61
5.43,9.72,243,95.97,14,3,1,0,1,39.11
8.81,2.99,216,50.71,12,0,0,4,1,66.81
7.94,4.13,54,75.55,7,1,0,4,1,34.39
11.46,1.23,337,84.06,3,4,1,1,3,67.8
1.38,8.07,182,91.27,8,0,2,1,1,48.77
12.83,4.43,170,45.14,2,4,0,4,0,37.31
0.69,8.3,122,60.06,11,4,2,1,3,42.45
2.58,0.55,305,10.04,14,1,0,3,3,7.85
1.92,6.9,22,67.13,1,1,2,2,4,39.38
12.25,8.38,194,23.09,0,2,2,1,1,6.8
1.33,4.02,191,9.05,14,4,0,0,4,49.14
7.27,0.3,7,85.56,11,3,2,3,4,1.37
1.66,0.09,307,80.19,9,4,0,2,4,68.63
8.32,2.19,198,94.44,14,1,1,4,4,47.44
1.05,6.55,194,39.3,9,4,0,1,2,68.25
0.81,5.15,84,63.64,3,1,1,2,2,53.1
12.8,6.61,31,95.27,2,2,0,1,0,38.21
13.24,5.87,9,80.4,8,0,2,1,1,39.79
12.64,2.42,250,85.78,10,3,0,0,4,57.97
4.35,8.76,114,25.01,1,3,2,4,4,46.92
6.17,6.55,98,9.39,1,0,0,2,3,3.64
2.84,0.65,131,92.5,11,4,0,2,1,11.7
10.73,0.83,284,62.97,10,4,2,4,0,0.05
6.27,9.22,149,58.55,10,3,2,3,2,56.15
3.17,3.87,137,47.35,2,1,0,3,2,58.93
11.85,2.73,283,79.43,2,0,1,0,4,22.29
2.75,0.34,280,82.84,1,4,0,2,3,14.83
6.66,9.47,42,16.88,7,2,0,1,3,19.62
4.81,0.76,197,0.57,12,3,1,4,2,40.1
4.25,2.97,152,58.65,7,1,1,2,0,15.52
12.77,0.85,301,69.05,9,1,2,4,1,53.05
1.38,8.81,348,96.55,3,3,0,4,4,37.71
9.39,3.48,306,33.03,8,0,1,0,4,29.67
6.64,4.92,60,53.57,0,4,0,1,3,63.97
4.19,7.69,5,69.52,2,4,0,0,4,43.48
10.9,0.44,91,44.64,1,1,1,4,1,23.06
10.7,8.18,137,71.94,9,2,2,4,2,10.85
4.53,0.61,194,96.03,4,2,1,3,0,29.17
2.76,2.66,195,33.1,8,0,2,4,4,32.97
13.25,8.05,201,99.38,12,2,1,4,4,3.95
4.09,8.52,79,70.65,13,0,2,2,0,35.45
7.52,2.31,306,31.19,3,1,0,0,1,44.01
11.81,3.08,260,20.98,8,4,2,2,1,50.28
0.82,0.1,298,69.19,0,4,1,1,4,36.36
5.63,1.47,63,25.97,12,2,0,2,3,45.44
1.1,6.28,267,90.17,4,1,1,4,0,57.33
1.79,8.5,273,76.5,11,1,1,1,4,36.69
3.38,9.92,124,81.72,10,1,2,3,1,32.67
5.33,6.45,137,79.09,14,2,2,0,2,25.12
10.32,1.05,134,0.53,7,3,0,0,0,56.54
6.25,8.1,133,62.2,9,4,1,0,2,60.8
3.79,1.77,18,5.47,11,1,1,0,2,42.74
9.22,3.22,107,27.4,2,3,1,1,1,7.24
9.76,8.3,103,73.04,1,1,2,1,2,34.9
7.4,1.92,194,1.08,12,0,2,1,0,37.85
10.17,4.45,147,40.13,9,4,1,4,2,56.7
9.32,1.4,331,16.12,14,3,1,3,0,28.7
3.27,6.67,291,14.36,10,3,2,4,2,53.88
1.06,0.27,306,65.14,6,1,2,1,2,47.81
1.11,0.6,156,39.23,6,3,1,3,0,26.76
7.0,2.73,296,43.88,6,2,2,3,1,17.61
1.79,2.1,106,51.9,13,1,0,2,4,45.33
5.3,3.33,115,14.45,10,4,2,0,1,25.27
4.7,6.84,232,15.24,3,4,2,4,1,1.06
2.18,1.69,267,97.35,2,4,1,1,3,15.07
12.65,8.34,38,47.36,6,2,1,4,0,25.28
5.26,2.4,135,62.54,7,1,2,1,4,34.66
10.75,9.47,249,17.17,0,2,0,2,2,16.45
0.72,6.64,308,11.83,7,0,2,2,0,45.07
10.61,9.22,113,49.35,12,2,2,2,0,50.25
2.05,0.35,326,74.26,1,3,2,3,1,47.19
9.36,0.58,232,63.93,12,0,2,1,4,6.96
3.28,0.39,30,25.2,0,0,1,3,4,40.93
6.07,3.02,298,73.51,11,4,0,2,3,55.04
6.56,7.57,344,86.75,0,4,0,4,1,44.97
6.2,9.44,106,35.86,10,0,0,4,2,43.25
5.58,5.63,275,11.67,2,4,0,0,0,61.71
7.79,2.46,146,59.89,1,0,0,1,4,0.28
6.52,6.57,250,20.05,11,4,0,0,3,32.84
1.46,4.88,222,87.7,11,4,1,1,2,10.24
10.78,2.77,310,13.37,1,1,1,1,1,68.04
12.13,1.24,245,41.07,0,0,2,4,2,12.94
10.66,2.07,327,8.72,0,0,2,1,4,3.61
10.6,8.51,171,57.3,9,1,2,2,3,16.33
0.54,2.35,26,9.7,12,1,2,2,1,24.8
12.2,7.8,243,37.31,3,3,2,2,3,48.55
13.25,6.51,52,78.64,4,2,0,0,3,10.09
8.94,2.25,37,17.87,13,3,1,4,2,42.75
5.9,0.2,238,29.73,0,2,2,0,3,63.08
9.21,1.71,283,98.63,11,4,1,2,0,32.04
5.49,1.17,318,29.06,6,2,2,0,4,68.62
7.52,8.13,199,46.51,3,3,2,2,1,1.89
5.78,9.32,176,14.46,0,3,0,2,4,12.77
7.11,1.78,187,31.56,10,4,2,4,1,5.03
8.73,2.29,105,86.32,8,4,1,0,0,49.47
8.1,1.02,52,97.48,14,3,0,2,1,28.68
4.51,4.0,144,38.93,6,2,1,1,2,69.05
10.99,9.24,342,49.51,10,0,2,4,2,1.35
7.03,7.32,279,95.12,12,4,2,0,0,40.96
6.27,5.96,302,35.7,14,1,2,0,4,68.3
8.21,8.0,166,82.42,1,0,2,3,3,25.18
7.4,4.32,109,47.93,2,0,1,1,2,5.66
9.87,4.42,259,35.22,7,0,2,2,3,27.5
3.82,7.67,58,98.37,6,3,0,0,1,18.73
5.41,2.64,201,66.17,0,2,1,1,1,65.45
